trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
60,0,60,0,115.54943960002856,,115.53602719999617,115.54943960002856,116.54948100005277,116.54948100005277,117.25077790004434,down,1,0.6849659999716096,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
61,0,61,0,117.26595520001138,,117.25195760000497,117.26595520001138,118.26578980003251,118.26578980003251,118.68436860002112,down,1,0.41586130001815036,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
62,0,62,0,118.69908849999774,,118.68673280003713,118.69908849999774,119.69953380001243,119.69953380001243,120.5835513000493,down,1,0.8767812000005506,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
63,0,63,0,120.59859250002773,,120.58550960000139,120.59859250002773,121.59893600002397,121.59893600002397,122.56717510003364,down,1,0.9618083999957889,None,3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
64,0,64,0,122.58220620005159,,122.56899749999866,122.58220620005159,123.58192320005037,123.58192320005037,124.46655500005,up,1,0.8709539999836124,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
65,0,65,0,124.48162170004798,,124.46829030005028,124.48162170004798,125.48185640003067,125.48185640003067,126.73359920002986,up,0,1.2368532000109553,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
66,0,66,0,126.74816340004327,,126.73551870003575,126.74816340004327,127.74783250002656,127.74783250002656,128.66591560002416,down,1,0.9063254999928176,None,3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
67,0,67,0,128.6810065000318,,128.66780049999943,128.6810065000318,129.68091430002823,129.68091430002823,130.89953900000546,up,1,1.2146884999820031,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
68,0,68,0,130.91396360000363,,130.90138430002844,130.91396360000363,131.91426230000798,131.91426230000798,132.73219280003104,down,1,0.8037002999917604,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
69,0,69,0,132.7474554000073,,132.73381050000899,132.7474554000073,133.74733880005078,133.74733880005078,134.31457540002884,down,0,0.5535243999911472,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
70,0,70,0,134.33005879999837,,134.3162321000127,134.33005879999837,135.33012620004592,135.33012620004592,136.58163369999966,down,1,1.2433904000208713,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
71,0,71,0,136.59710140002426,,136.58345960004954,136.59710140002426,137.59639640001114,137.59639640001114,138.49835210002493,up,1,0.892434100038372,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
72,0,72,0,138.5131922000437,,138.50051130005158,138.5131922000437,139.51344660000177,139.51344660000177,140.98218839999754,down,0,1.466769699996803,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
73,0,73,0,140.99674620002043,,140.9847490999964,140.99674620002043,141.99673850002,141.99673850002,142.58110460004536,down,1,0.5688284999923781,None,-5,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
74,0,74,0,142.59590430004755,,142.5825834000134,142.59590430004755,143.59729190001963,143.59729190001963,147.180722900026,down,0,3.579420200025197,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
75,0,75,0,147.19568990002153,,147.18250830000034,147.19568990002153,148.19534040003782,148.19534040003782,149.88772480003536,down,0,1.6489458000287414,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
76,0,76,0,149.8920252000098,,149.8893994000391,149.8920252000098,150.89529070002027,150.89529070002027,151.5965176000027,down,1,0.6955769999767654,None,4,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
77,0,77,0,151.61173390003387,,151.59918860002654,151.61173390003387,152.6117465000134,152.6117465000134,153.29634550004266,up,1,0.6738216999801807,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
78,0,78,0,153.31153720000293,,153.29940850002458,153.31153720000293,154.3115383000113,154.3115383000113,155.19594710000092,up,1,0.8784839000436477,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
79,0,79,0,155.21116270002676,,155.19945529999677,155.21116270002676,156.21118120005121,156.21118120005121,157.12928770005237,down,1,0.9156078999512829,None,2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
80,0,80,0,157.14421180001227,,157.13159950001864,157.14421180001227,158.14437670004554,158.14437670004554,159.06196280004224,down,0,0.9038556999876164,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
81,0,81,0,159.0775571000413,,159.064714200038,159.0775571000413,160.07701850001467,160.07701850001467,161.21211970003787,down,0,1.1303855000296608,None,0,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
82,0,82,0,161.22686330002034,,161.2134862000239,161.22686330002034,162.22688700002618,162.22688700002618,162.87861640000483,up,0,0.644378199998755,None,-2,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
83,0,83,0,162.8936125000473,,162.88159950001864,162.8936125000473,163.89327520004008,163.89327520004008,164.56144760001916,up,0,0.6534501000423916,None,3,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
84,0,84,0,164.57643740001367,,164.56365350005217,164.57643740001367,165.57650480000302,165.57650480000302,166.5613383000018,up,0,0.9687373000197113,None,1,117517,001,2024-09-19_01h55.58.119,signaldetection,2024.1.5,None,2024-09-19 01h56.02.964394 +0530,
