11.3688 	EXP 	Created distr = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='distr', opacity=1, ori=43, pos=array([-0.0677268, -0.3763731]), rgb=UNKNOWN, text='L', units='height', win=Window(...), wrapWidth=1)
11.3747 	EXP 	fixation: autoDraw = False
11.3747 	EXP 	target: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = False
11.3747 	EXP 	distr: autoDraw = True
11.3747 	EXP 	distr: autoDraw = True
11.3747 	EXP 	distr: autoDraw = True
11.3747 	EXP 	distr: autoDraw = True
11.3747 	EXP 	distr: autoDraw = True
11.3747 	EXP 	fixation: autoDraw = True
11.3747 	EXP 	target: autoDraw = True
11.4752 	DATA 	Mouse:  Left button up, pos=(1243,490)
13.2923 	DATA 	Mouse: Left button down, pos=(626,322)
13.3067 	EXP 	fixation: autoDraw = False
13.3067 	EXP 	target: autoDraw = False
13.3067 	EXP 	distr: autoDraw = False
13.3067 	EXP 	distr: autoDraw = False
13.3067 	EXP 	distr: autoDraw = False
13.3067 	EXP 	distr: autoDraw = False
13.3067 	EXP 	distr: autoDraw = False
13.3069 	EXP 	Visual_search: status = STOPPED
