thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,0,78,[-0.194],[0.462],[1],[0],[0],[2.1083478000946343],['target'],78,0,78,0,167.64208699995652,,5,167.63568189996295,167.64208699995652,167.64208699995652,0.008484199875965714,169.7444191998802,[-0.194],[0.462],[1],[0],[0],[2.1083478000946343],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
79,0,79,[-0.372],[0.182],[1],[0],[0],[2.2234033001586795],['target'],79,0,79,0,169.77477520005777,,5,169.75312080001459,169.77477520005777,169.77477520005777,0.008586099836975336,171.97686429996975,[-0.372],[0.182],[1],[0],[0],[2.2234033001586795],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
80,0,80,[0.244],[-0.246],[1],[0],[0],[2.0316937000025064],['target'],80,0,80,0,172.00795940007083,,10,171.9949189000763,172.00795940007083,172.00795940007083,0.017971199937164783,174.02728469995782,[0.244],[-0.246],[1],[0],[0],[2.0316937000025064],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
81,0,81,[0.432],[-0.382],[1],[0],[0],[1.8735068999230862],['target'],81,0,81,0,174.0574449999258,,5,174.0369913999457,174.0574449999258,174.0574449999258,0.009537599980831146,175.91109779989347,[0.432],[-0.382],[1],[0],[0],[1.8735068999230862],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
82,0,82,[-0.514],[-0.334],[1],[0],[0],[1.8662801999598742],['target'],82,0,82,0,175.94333310006186,,5,175.926099000033,175.94333310006186,175.94333310006186,0.014829100109636784,177.7927778000012,[-0.514],[-0.334],[1],[0],[0],[1.8662801999598742],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
83,0,83,[0.35],[0.058],[1],[0],[0],[1.454085199860856],['target'],83,0,83,0,177.82369589991868,,5,177.8070449999068,177.82369589991868,177.82369589991868,0.014181099832057953,179.26186729990877,[0.35],[0.058],[1],[0],[0],[1.454085199860856],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
84,0,84,[-0.178],[0.356],[1],[0],[0],[1.3365305000916123],['target'],84,0,84,0,179.29003020003438,,5,179.27380890003406,179.29003020003438,179.29003020003438,0.011747600045055151,180.61097040004097,[-0.178],[0.356],[1],[0],[0],[1.3365305000916123],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
85,0,85,[0.266],[0.014],[1],[0],[0],[1.887109800009057],['target'],85,0,85,0,180.64054589997977,,5,180.62116939993575,180.64054589997977,180.64054589997977,0.010023800190538168,182.5086072999984,[0.266],[0.014],[1],[0],[0],[1.887109800009057],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
86,0,86,[0.122],[0.402],[1],[0],[0],[2.864882400026545],['target'],86,0,86,0,182.540071999887,,10,182.5264792998787,182.540071999887,182.540071999887,0.017788899829611182,185.39171330002137,[0.122],[0.402],[1],[0],[0],[2.864882400026545],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
87,0,87,[0.322],[-0.114],[1],[0],[0],[1.9558878999669105],['target'],87,0,87,0,185.42324559995905,,5,185.4017783999443,185.42324559995905,185.42324559995905,0.009946000063791871,187.35801009996794,[0.322],[-0.114],[1],[0],[0],[1.9558878999669105],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
88,0,88,[0.358],[-0.118],[1],[0],[0],[2.4500034998636693],['target'],88,0,88,0,187.38908390002325,,10,187.37526379991323,187.38908390002325,187.38908390002325,0.017138299997895956,189.8259992999956,[0.358],[-0.118],[1],[0],[0],[2.4500034998636693],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
89,0,89,[0.186],[0.292],[1],[0],[0],[1.848141900030896],['target'],89,0,89,0,189.85563210002147,,10,189.84339620009996,189.85563210002147,189.85563210002147,0.01723509980365634,191.69200449995697,[0.186],[0.292],[1],[0],[0],[1.848141900030896],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
90,0,90,[0.366],[-0.002],[1],[0],[0],[1.7643917999230325],['target'],90,0,90,0,191.72220190009102,,10,191.71021059993654,191.72220190009102,191.72220190009102,0.018038199981674552,193.47503790003248,[0.366],[-0.002],[1],[0],[0],[1.7643917999230325],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
91,0,91,[0.416],[0.338],[1],[0],[0],[2.2765700998716056],['target'],91,0,91,0,193.52191299991682,,10,193.49619430000894,193.52191299991682,193.52191299991682,0.02103750011883676,195.77325959992595,[0.416],[0.338],[1],[0],[0],[2.2765700998716056],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
92,0,92,[-0.174],[-0.466],[1],[0],[0],[2.712455900153145],['target'],92,0,92,0,195.80492349993438,,10,195.79529789998196,195.80492349993438,195.80492349993438,0.021870599826797843,198.50843739998527,[-0.174],[-0.466],[1],[0],[0],[2.712455900153145],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
93,0,93,[0.29],[-0.414],[1],[0],[0],[3.228938899934292],['target'],93,0,93,0,198.53835309995338,,10,198.52733940002508,198.53835309995338,198.53835309995338,0.018688900163397193,201.7567000000272,[0.29],[-0.414],[1],[0],[0],[3.228938899934292],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
94,0,94,[0.404],[0.042],[1],[0],[0],[1.4287560998927802],['target'],94,0,94,0,201.78718420001678,,5,201.76520500006154,201.78718420001678,201.78718420001678,0.00836540013551712,203.19463939988054,[0.404],[0.042],[1],[0],[0],[1.4287560998927802],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
95,0,95,[0.324],[0.002],[1],[0],[0],[1.35015879990533],['target'],95,0,95,0,203.22115239989944,,5,203.2060322999023,203.22115239989944,203.22115239989944,0.011214099824428558,204.55680939997546,[0.324],[0.002],[1],[0],[0],[1.35015879990533],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
96,0,96,[0.316],[0.31],[1],[0],[0],[1.5055862001609057],['target'],96,0,96,0,204.58745920006186,,5,204.565909500001,204.58745920006186,204.58745920006186,0.008976300014182925,206.0718443999067,[0.316],[0.31],[1],[0],[0],[1.5055862001609057],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
97,0,97,[-0.08],[-0.122],[1],[0],[0],[1.4585931999608874],['target'],97,0,97,0,206.1038860999979,,5,206.08067129994743,206.1038860999979,206.1038860999979,0.008715299889445305,207.5396449000109,[-0.08],[-0.122],[1],[0],[0],[1.4585931999608874],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
98,0,98,[0.406],[-0.094],[1],[0],[0],[1.3865958999376744],['target'],98,0,98,0,207.5701067999471,,5,207.55211200006306,207.5701067999471,207.5701067999471,0.012352699879556894,208.93912109988742,[0.406],[-0.094],[1],[0],[0],[1.3865958999376744],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
99,0,99,[-0.164],[0.016],[1],[0],[0],[1.879873599857092],['target'],99,0,99,0,208.96961620007642,,10,208.95835889992304,208.96961620007642,208.96961620007642,0.01912609999999404,210.83858030010015,[-0.164],[0.016],[1],[0],[0],[1.879873599857092],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
100,0,100,[-0.144],[-0.356],[1],[0],[0],[1.6909620999358594],['target'],100,0,100,0,210.85327120008878,,5,210.84695939999074,210.85327120008878,210.85327120008878,0.008274799911305308,212.53840099996887,[-0.144],[-0.356],[1],[0],[0],[1.6909620999358594],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
101,0,101,[-0.492],[0.072],[1],[0],[0],[4.367912600049749],['target'],101,0,101,0,212.5696199000813,,10,212.5544306000229,212.5696199000813,212.5696199000813,0.015948700020089746,216.92300909990445,[-0.492],[0.072],[1],[0],[0],[4.367912600049749],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
102,0,102,[0.324],[-0.142],[1],[0],[0],[2.338355800136924],['target'],102,0,102,0,216.9525041000452,,5,216.9350340999663,216.9525041000452,216.9525041000452,0.011835100129246712,219.2742290000897,[0.324],[-0.142],[1],[0],[0],[2.338355800136924],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
103,0,103,[0.112],[-0.322],[1],[0],[0],[1.5255758001003414],['target'],103,0,103,0,219.31887610000558,,10,219.2943686998915,219.31887610000558,219.31887610000558,0.01989490003325045,220.8202821998857,[0.112],[-0.322],[1],[0],[0],[1.5255758001003414],['target'],617962,001,2024-10-04_11h17.26.504,visual_search1,2024.2.1post4,59.90628259529839,2024-10-04 11h17.31.478449 +0530,
